Statute,On e-Laws,Minister(s) Responsible,Ministerial Responsibility (OIC and Gazette Date),Legislative History,Part left unconsolidated and unrepealed by R.S.O. 1990,Repealed on d/m/y,Repealed by
"Abandoned Orchards Act, R.S.O. 1990, c. A.1","Yes",,,"1994, c. 27, s. 1","","01/03/1997","1996, c. 17, Sch. J, s. 1 (1)"
"Abitibi Canyon Power Development Act, 1933, S.O. 1933, c. 1","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Abitibi Power and Paper Company, Limited, Act, 1937, S.O. 1937, c. 4","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Absconding Debtors Act, R.S.O. 1990, c. A.2","Yes","Attorney General","1143/2018 (10/11/2018)","2006, c. 19, Sch. C, s. 1 (1)
2010, c. 16, Sch. 4, s. 22","","",""
"Absentees Act, R.S.O. 1990, c. A.3","Yes","Attorney General","1143/2018 (10/11/2018)","1992, c. 32, s. 1
1999, c. 6, s. 1
2005, c. 5, s. 1
2006, c. 19, Sch. C, s. 1 (1)","","",""
"Academy of Medicine, Toronto Act, 1946, The, S.O. 1946, c. 1","No",,,,"Total","",""
"Accessibility for Ontarians with Disabilities Act, 2005, S.O. 2005, c. 11","Yes","Minister for Seniors and Accessibility","1159/2018 (10/11/2018)","2006, c. 32, Sch. C, s. 1
2006, c. 35, Sch. C, s. 2
2009, c. 33, Sch. 8, s. 1
2016, c. 5, Sch. 1","","",""
"Accidental Fires Act, R.S.O. 1990, c. A.4","Yes",,,,"","29/10/1997","1997, c. 4, s. 85"
"Accumulations Act, R.S.O. 1914, c. 110","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Accumulations Act, R.S.O. 1990, c. A.5","Yes","Attorney General","1143/2018 (10/11/2018)","1993, c. 27, Sch.
2005, c. 5, s. 2
2009, c. 33, Sch. 16, s. 1
2009, c. 33, Sch. 2, s. 1","","",""
"Adams Mine Lake Act, 2004, S.O. 2004, c. 6 ","Yes","Minister of the Environment, Conservation and Parks","1149/2018 (10/11/2018)","2009, c. 33, Sch. 15, s. 1","","",""
"Adjudicative Tribunals Accountability, Governance and Appointments Act, 2009, S.O. 2009, c. 33, Sched. 5","Yes","President of the Treasury Board","1163/2018 (10/11/2018)","2017, c. 34, Sch. 46, s. 1
2018, c. 17, Sch. 35, s. 16","","",""
"Administration of Justice Act, R.S.O. 1990, c. A.6","Yes","Attorney General","1143/2018 (10/11/2018)","2000, c. 26, Sch. A, s. 1
2004, c. 31, Sch. 1
2009, c. 33, Sch. 2, s. 2
2010, c. 1, Sch. 6, s. 8","","",""
"Advocacy Act, 1992, S.O. 1992, c. 26","Yes",,,,"","29/03/1996","1996, c. 2, s. 1"
"Age of Majority and Accountability Act, R.S.O. 1990, c. A.7","Yes","Attorney General","1143/2018 (10/11/2018)","2006, c. 21, Sch. F, s. 101","","",""
"Aggregate Resources Act, 1989, S.O. 1989, c. 23","No",,,,"See R.S.O. 1990, Schedule C","25/07/2007","2006, c. 21, Sch. F, s. 98."
"Aggregate Resources Act, R.S.O. 1990, c. A.8","Yes","Minister of Natural Resources and Forestry","1158/2018 (10/11/2018)","1993, c. 27, Sch.
1994, c. 23, s. 61
1994, c. 27, s. 126
1996, c. 30, s. 1-55
1997, c. 26, Sch.
1999, c. 12, Sch. N, s. 1
2000, c. 26, Sch. L, s. 1
2002, c. 17, Sch. F, Table
2006, c. 19, Sch. P, s. 1
2009, c. 33, Sch. 2, s. 3
2017, c. 23, Sch. 5, s. 1-7
2017, c. 6, Sch. 1
2017, c. 8, Sch. 17, s. 4
2019, c. 7, Sch. 1
2019, c. 7, Sch. 1
2019, c. 7, Sch. 17, s. 35
2019, c. 7, Sch. 17, s. 35","","",""
"AgriCorp Act, 1996, S.O. 1996, c. 17, Sched. A","Yes","Minister of Agriculture, Food and Rural Affairs","1142/2018 (10/11/2018)","1999, c. 12, Sch. A, s. 1
2004, c. 17, s. 32
2006, c. 35, Sch. C, s. 3
2007, c. 7, Sch. 7, s. 178
2009, c. 33, Sch. 1, s. 1
2009, c. 33, Sch. 6, s. 38
2010, c. 15, s. 212 (see 2017, c. 20, Sch. 8, s. 58)
2015, c. 6, s. 9
2017, c. 20, Sch. 8, s. 61
2017, c. 34, Sch. 46, s. 2
2019, c. 7, Sch. 17, s. 36
2019, c. 7, Sch. 17, s. 36","","",""
