university,year,link
Lakehead,,https://www.lakeheadu.ca/sites/default/files/uploads/106/UNIVERSITY%20ACT%201965.pdf
Laurier,,https://www.wlu.ca/about/governance/assets/resources/wilfrid-laurier-university-act.html
Carleton,,https://carleton.ca/secretariat/wp-content/uploads/University-Act1.pdf
Trent,,http://www.trentu.ca/fiftyreunion/documents/Trent%20Act%201-8.pdf
Ottawa,,https://www.uottawa.ca/administration-and-governance/1965-university-of-ottawa-act
Algoma,,https://www.ontario.ca/laws/statute/08a13
Brock,,https://brocku.ca/university-secretariat/governance/brock-university-act/
Laurentian,,https://laurentian.ca/governance-leadership/board-governors/laurentian-act
McMaster,,https://secretariat.mcmaster.ca/app/uploads/2019/05/McMasterAct_760607.pdf
Toronto,,https://governingcouncil.utoronto.ca/sites/default/files/import-files/ppdec1519784709.pdf
OCAD,,https://www.ontario.ca/laws/statute/02o08e
Nipissing,,https://www.nipissingu.ca/about/governance/board-of-governors/NUA
Queens,,https://www.queensu.ca/secretariat/sites/webpublish.queensu.ca.uslcwww/files/files/index/RoyalCharter2011.pdf
Royal Military College,,https://www.cicic.ca/docs/postsec/RMCC_degrees_act_1959.pdf
Ryerson,,https://www.ryerson.ca/content/dam/senate/senate-meetings/bylaws-acts-guidelines/ryersonact.pdf
Guelph,,https://uoguelph.civicweb.net/document/5523
UOIT,,https://www.ontario.ca/laws/statute/02u08
York,1965,http://secretariat.info.yorku.ca/governance-documents/york-university-act-1965/
York,1959,http://secretariat.info.yorku.ca/governance-documents/york-university-act-1959/
Western,-1,https://www.uwo.ca/univsec/about/western_university_act.html
Western,1988,https://www.uwo.ca/univsec/pdf/about/university_act/University_of_Western_Ontario_Act_1982_as_amended_1988.pdf
Western,1878,https://www.uwo.ca/univsec/pdf/about/university_act/UWO_Act_1878.pdf
Waterloo,1972,https://uwaterloo.ca/secretariat/governance/university-waterloo-act
Windsor,-1,http://www.uwindsor.ca/secretariat/44/university-act
Windsor,1962,http://www.uwindsor.ca/sites/uwindsor.ca.secretariat/files/University%20of%20Windsor%20Act%201962-63%20(Bill%20Pr36).pdf
Windsor,1968,http://www.uwindsor.ca/sites/uwindsor.ca.secretariat/files/Respecting%20the%20University%20of%20Windsor%20Act%201968-69%20(Bill%20Pr35).pdf
